Undergraduate,Graduate,Tenure track,Full professor
0.312390851,0.12,0,0
0.305777987,0.135,0,0
0.303622431,0.138,0,0
0.30026553,0.141,0,0
0.298574469,0.129,0,0
0.293369966,0.145,0,0
0.296163452,0.151,0,0
0.300524934,0.175,0.129412,0.071429
0.314761749,0.181,0.1431755,0.07288075
0.333409909,0.193,0.156939,0.0743325
0.348168922,0.196,0.1707025,0.07578425
0.363866182,0.198,0.184466,0.077236
0.387317335,0.219,0.199029,0.0793585
0.40553897,0.229,0.213592,0.081481
0.424019868,0.244,0.2129905,0.0863485
0.44467148,0.255,0.212389,0.091216
0.456383906,0.267,0.2311945,0.099289
0.463689064,0.287,0.25,0.107362
0.471530563,0.276,0.267857,0.117479
0.481410988,0.287,0.285714,0.127596
0.483763193,0.302,0.2973285,0.130837
0.486797961,0.318,0.308943,0.134078
0.50626194,0.33,0.330253,0.141215
0.504858048,0.34,0.351563,0.148352
0.510226078,0.338,0.3546135,0.155727
0.511412357,0.346,0.357664,0.163102
0.518796136,0.352,0.3621655,0.172333
0.517701973,0.376,0.366667,0.181564
0.515662927,0.375,0.3788465,0.1956205
0.525892072,0.381,0.391026,0.209677
0.529389024,0.397,0.40275,0.2131935
0.541396091,0.405,0.414474,0.21671
0.552822148,0.412,0.407237,0.22535
0.567647634,0.407,0.4,0.23399
0.584832984,0.427,0.4017545,0.248063
0.596836396,0.433,0.403509,0.262136
0.609535172,0.428,0.4203335,0.275077
0.620914331,0.441,0.437158,0.288018
0.623517727,0.452,0.443271,0.293461333
0.621550985,0.47,0.449384,0.298904667
0.617053892,0.479,0.455497,0.304348
0.60469232,0.476,0.4657165,0.3151205
0.598074209,0.494,0.475936,0.325893
0.59711169,0.532015,0.48925,0.3345565
0.589329605,0.537911,0.502564,0.34322