Undergraduate,Graduate,Postdoctoral,Tenure track,Full professor
0.012313217,0.014,0,0,0
0.016139475,0.011,0,0,0
0.021218361,0.017,0,0,0
0.033952049,0.019,0,0,0
0.049423314,0.028,0,0,0
0.073691562,0.022,0,0.017857,0.0043105
0.09128654,0.025,0,0.035714,0.008621
0.101207278,0.036,0,0.039596,0.008343
0.110849538,0.039,0,0.043478,0.008065
0.122665283,0.047,0,0.0402575,0.011332
0.132819595,0.045,0,0.037037,0.014599
0.140887424,0.052,0,0.0435185,0.0144935
0.144974991,0.063,0,0.05,0.014388
0.144988284,0.067,0,0.05,0.01373
0.153228082,0.065,0,0.05,0.013072
0.153647689,0.068,0,0.0598835,0.0128255
0.152180083,0.083,0,0.069767,0.012579
0.154130284,0.085,0,0.081395,0.0189475
0.155418335,0.09,0,0.093023,0.025316
0.155567395,0.093,0.05,0.102067,0.022212
0.15917391,0.092,0.1,0.111111,0.019108
0.165095537,0.109,0.13333333,0.128472,0.025894
0.172791971,0.116,0.166667,0.145833,0.03268
0.17929461,0.123,0.142157,0.1367465,0.0314
0.183955607,0.123,0.117647,0.12766,0.03012
0.186147684,0.131,0.1497325,0.1219695,0.0391565
0.197621257,0.148,0.181818,0.116279,0.048193
0.205186778,0.157,0.20202,0.131056,0.050882
0.201003512,0.169,0.222222,0.145833,0.053571
0.209621712,0.188525,0.20202,0.151348,0.0595235
0.203570763,0.199469,0.181818,0.156863,0.065476
0.205035532,0.192222,0.187878667,0.178021667,0.068342
0.199706929,0.210055,0.193939333,0.199180333,0.071208
0.195499542,0.208401,0.2,0.220339,0.074074
0.185436034,0.223287,0.195238,0.2376205,0.073969
0.184724488,0.226119,0.190476,0.254902,0.073864
0.180402017,0.25283,0.2242705,0.2853455,0.0849545
0.184260214,0.253705,0.258065,0.315789,0.096045