Undergraduate,Graduate
0.44398,0.235
0.46208,0.247
0.47658,0.267
0.50333,0.292
0.52563,0.308
0.54514,0.317
0.56855,0.328
0.58973,0.364
0.61203,0.369
0.63321,0.408
0.65105,0.423
0.66833,0.439
0.67446,0.455
0.67892,0.477
0.68227,0.501
0.68896,0.494
0.69007,0.512
0.70011,0.535
0.70902,0.547
0.71571,0.561
0.72575,0.583
0.73132,0.614
0.73188,0.591
0.73076,0.611
0.72909,0.622
0.73021,0.636
0.73857,0.666
0.74514,0.664
0.75139,0.669
0.76477,0.668
0.77518,0.666
0.7748,0.667
0.77703,0.667
0.77759,0.682
0.77814,0.675
0.7748,0.681
0.77369,0.712
0.7709,0.712
0.77146,0.703