Actors,Directors,Producers
0.31557,0.10245,0.00969
0.28341,0.0517,0.05458
0.29359,0.1201,0.07346
0.32839,0.03856,0.10975
0.3183,0.08245,0.14461
0.31665,0.13092,0.18461
0.36398,0.17069,0.16814
0.36248,0.0805,0.16635
0.30158,0.09226,0.16593
0.32081,0.11627,0.15537
0.35116,0.02862,0.14102
0.3626,0.01732,0.11122
0.26853,0.02409,0.07599
0.32747,0.0459,0.05617
0.25221,0.02989,0.03734
0.26338,0.01399,0.03595
0.2492,0.02149,0.0188
0.25439,0.01336,0.01771
0.24566,0.02577,0.02004
0.27835,0.0163,0.01269
0.27741,0.00712,0.00361
0.23937,0.00976,0.01619
0.24047,0.01216,0.01044
0.25498,0.00623,0.01682
0.22068,0.00658,0.00291
0.20285,0.02229,0.00706
0.19841,0.01084,0.00612
0.22014,0.00903,0.01395
0.1907,0.00757,0.00154
0.22154,0.00664,0.00351
0.21445,0.0147,0.02352
0.21214,0.01479,0.00647
0.20478,0.01446,0.01217
0.22518,0.0083,0.01082
0.20015,0.00754,0.01762
0.18624,0.00758,0.01083
0.19188,0.00724,0.01008
0.20428,0.00995,0.00792
0.19849,0.01265,0.01734
0.20666,0.01529,0.01228
0.20314,0.01047,0.02129
0.21458,0.00755,0.01374
0.23776,0.00861,0.00565
0.22607,0.00974,0.02417
0.22665,0.01046,0.00554
0.24945,0.01122,0.00729
0.24817,0.01284,0.03421
0.29635,0.02093,0.03248
0.29413,0.00958,0.04092
0.29103,0.00974,0.04415
0.31714,0.00954,0.02465
0.31807,0.02491,0.04934
0.29987,0.04466,0.03393
0.31654,0.01813,0.04168
0.314,0.01876,0.03174
0.37417,0.00963,0.02031
0.37565,0.03778,0.03514
0.33508,0.02248,0.0368
0.29686,0.022,0.04187
0.29966,0.01885,0.04565
0.318,0.03097,0.06737
0.28973,0.02761,0.05344
0.30883,0.05666,0.07674
0.31208,0.04919,0.07003
0.32318,0.03196,0.07353
0.33261,0.0373,0.09488
0.32807,0.04335,0.07985
0.33949,0.04418,0.10127
0.3194,0.04098,0.12241
0.34894,0.06806,0.13998
0.32921,0.03722,0.13023
0.3058,0.06033,0.14344
0.31811,0.05361,0.14271
0.31319,0.09754,0.1578
0.31846,0.04478,0.15581
0.30739,0.06428,0.15914
0.30765,0.06742,0.19792
0.2941,0.08259,0.17244
0.29676,0.08737,0.2074
0.29585,0.08386,0.20069
0.30022,0.10464,0.20617
0.30612,0.10991,0.21491
0.31602,0.09527,0.2198
0.29361,0.11082,0.22505
0.31389,0.11529,0.24642
0.31599,0.07218,0.23477
0.31048,0.09714,0.23143